format,size (KB),width,height,area,pose,setting,# of raccoons
jpg,1228.8,1200,902,1082400,sitting,outdoors,1
jpg,1538,1200,800,960000,lying,outdoors,2
jpg,1228.8,1200,800,960000,crawling,outdoors,2
jpg,224,1200,1074,1288800,lying,outdoors,1
jpg,2048,1200,1600,1920000,sitting,outdoors,1
jpg,236,1200,1636,1963200,climbing,outdoors,1
jpg,709,1200,900,1080000,crawling,outdoors,1
jpg,1433.6,1200,800,960000,lying,outdoors,1
JPG,212,1200,1027,1232400,crawling,outdoors,2
jpg,220,1200,804,964800,wrestling,outdoors,1
jpg,1843.2,1200,1200,1440000,climbing,indoors,1
jpg,84,960,720,691200,streching,outdoors,1
jpg,184,673,1458,981234,unknown,outdoors,1
jpg,244,1179,1149,1354671,standing,outdoors,1
jpg,13,229,221,50609,crawling,outdoors,1
jpg,136,968,1082,1047376,standing,unknown,1
jpg,119,1179,1155,1361745,unknown,indoors,1
jpg,159,1024,1280,1310720,standing,indoors,1
jpg,49,949,932,884468,crawling,unknown,1
jpg,10,236,223,52628,standing,indoors,1
jpg,53,564,564,318096,unknown,unknown,1
jpg,32,387,395,152865,standing,outdoors,1
jpg,45,564,752,424128,unknown,indoors,1
jpg,426,1440,1800,2592000,lying,indoors,1
jpg,39,563,751,422813,unknown,indoors,1
jpg,100,564,757,426948,sitting,indoors,1
jpg,146,1069,1082,1156658,unknown,indoors,1
jpg,34,564,752,424128,held,indoors,1
jpg,57,480,852,408960,unknown,indoors,1
jpg,280,1242,1228,1525176,lying,indoors,1
jpg,105,1026,1467,1505142,crawling,indoors,1
jpg,158,1080,1080,1166400,crawling,indoors,1
jpg,115,720,1280,921600,crawling,indoors,1
jpg,105,564,705,397620,lying,unknown,1
jpg,92,500,500,250000,crawling,outdoors,3
jpg,1433.6,3783,2848,10773984,crawling,outdoors,1
jpg,31,564,492,277488,unknown,indoors,1
jpg,110,720,960,691200,lying,indoors,1
jpg,86,794,1033,820202,crawling,indoors,1
jpg,147,719,726,521994,sitting,car,1
jpg,65,720,705,507600,crawling,indoors,1
jpg,36,538,571,307198,sitting,indoors,1
jpg,287,1280,960,1228800,crawling,outdoors,4
jpg,176,1080,1080,1166400,lying,indoors,1
jpg,52,720,960,691200,unknown,indoors,1
jpg,507,1673,1792,2998016,standing,outdoors,1
jpg,105,1080,1080,1166400,sitting,indoors,1
jpg,81,640,640,409600,lying,indoors,2
jpg,169,736,1091,802976,lying,outdoors,3
jpg,187,800,530,424000,crawling,outdoors,1
jpg,355,1025,1280,1312000,crawling,outdoors,1
jpg,232,1024,1280,1310720,crawling,outdoors,1
jpg,452,1600,1200,1920000,crawling,outdoors,3
jpg,33,382,679,259378,crawling,indoors,1
jpg,144,756,1008,762048,sitting,outdoors,5
jpg,59,750,556,417000,crawling,indoors,1
jpg,569,1536,2048,3145728,sitting,indoors,1
jpg,310,1096,2174,2382704,unknown,outdoors,2
jpg,719,1536,2048,3145728,climbing,outdoors,1
jpg,151,1088,1071,1165248,unknown,outdoors,1
jpg,93,660,330,217800,climbing,trash can,1
jpg,130,1280,720,921600,standing,outdoors,22
jpg,117,1125,1015,1141875,sitting,indoors,1
jpg,87,736,911,670496,sitting,outdoors,1
jpg,251,1337,1337,1787569,lying,indoors,2
jpg,91,799,534,426666,sitting,outdoors,1
jpg,337,1536,2048,3145728,climbing,outdoors,1
jpg,293,1000,655,655000,crawling,outdoors,1
jpg,76,563,799,449837,held,indoors,1
jpg,397,732,1024,749568,climbing,outdoors,1
jpg,59,528,960,506880,sitting,indoors,1
jpg,220,1000,750,750000,crawling,outdoors,1
jpg,84,564,752,424128,lying,indoors,1
jpg,244,736,736,541696,crawling,outdoors,1
jpg,126,750,734,550500,lying,indoors,1
jpg,271,1600,1200,1920000,crawling,outdoors,2
jpg,70,750,722,541500,standing,outdoors,1
jpg,244,799,600,479400,sitting,outdoors,2
jpg,133,643,869,558767,lying,unknown,1
jpg,261,1071,1071,1147041,sitting,indoors,1
jpg,38,512,512,262144,unknown,indoors,1
jpg,94,960,596,572160,crawling,outdoors,2
jpg,537,1536,2048,3145728,standing,outdoors,1
jpg,110,736,920,677120,unknown,indoors,1
jpg,199,1152,2048,2359296,lying,indoors,1
jpg,43,564,749,422436,sitting,indoors,1
jpg,59,672,652,438144,crawling,indoors,1
jpg,128,625,833,520625,lying,indoors,1
jpg,42,564,564,318096,standing,indoors,1
jpg,634,1536,2048,3145728,lying,indoors,1
jpg,40,402,562,225924,standing,outdoors,1
jpg,160,1139,1473,1677747,crawling,outdoors,2
jpg,237,1169,1162,1358378,lying,outdoors,1
jpg,127,800,533,426400,lying,outdoors,3
jpg,61,720,884,636480,unknown,indoors,1
jpg,83,749,600,449400,sitting,outdoors,1
jpg,175,1080,1202,1298160,sitting,indoors,1
jpg,50,564,547,308508,unknown,unknown,1
jpg,424,1200,1142,1370400,crawling,outdoors,5
jpg,198,1200,855,1026000,crawling,outdoors,2
jpg,402,1200,1600,1920000,held,indoors,1
jpg,215,1200,800,960000,crawling,outdoors,1
jfif,53,640,631,403840,unknown,outdoors,1
jfif,29,720,498,358560,unknown,outdoors,1
jpg,349,1200,900,1080000,crawling,outdoors,1
jpg,188,1200,795,954000,crawling,outdoors,1
jpg,356,1200,787,944400,lying,outdoors,1
png,1228.8,1004,650,652600,sitting,outdoors,1
jpg,472,1200,1104,1324800,climbing,outdoors,1
jpg,1536,1198,853,1021894,climbing,trash can,1
jpg,197,1200,942,1130400,climbing,trash can,2
jpg,296,1200,960,1152000,crawling,unknown,1
jpg,328,1200,1012,1214400,crawling,unknown,1
JPG,405,1200,900,1080000,climbing,outdoors,1
